CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;ADMITIDOS
2114;TECNOLOGIA EN ELECTROMECANICA;2014;1;420
6537;TECNOLOGIA EN TELECOMUNICACIONES;2014;1;463
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2014;1;118
11085;TECNOLOGIA EN ELECTRONICA;2014;1;238
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2014;1;834
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2014;1;119
52129;INGENIERIA ELECTRONICA;2014;1;62
52130;INGENIERIA ELECTROMECANICA;2014;1;124
52131;INGENIERIA DE PRODUCCION;2014;1;172
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2014;1;139
52205;INGENIERIA DE SISTEMAS;2014;1;93
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2014;1;67
52299;INGENIERIA DE TELECOMUNICACIONES;2014;1;90
53340;INGENIERIA BIOMEDICA;2014;1;478
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2014;1;2
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2014;1;184
53800;TECNOLOGIA EN CALIDAD;2014;1;309
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2014;1;728
53802;TECNOLOGIA EN PRODUCCION;2014;1;539
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;1;760
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2014;1;332
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2014;1;4
55018;ESPECIALIZACION EN FINANZAS;2014;1;26
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2014;1;77
55072;ADMINISTRACION TECNOLOGICA;2014;1;243
90355;ARTES VISUALES;2014;1;54
90442;INGENIERIA MECATRONICA;2014;1;412
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2014;1;11
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2014;1;20
2114;TECNOLOGIA EN ELECTROMECANICA;2015;1;358
6537;TECNOLOGIA EN TELECOMUNICACIONES;2015;1;379
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2015;1;88
11085;TECNOLOGIA EN ELECTRONICA;2015;1;237
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2015;1;808
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2015;1;104
52129;INGENIERIA ELECTRONICA;2015;1;60
52130;INGENIERIA ELECTROMECANICA;2015;1;104
52131;INGENIERIA DE PRODUCCION;2015;1;112
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2015;1;156
52205;INGENIERIA DE SISTEMAS;2015;1;92
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2015;1;53
