CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;GRADUADOS
53802;TECNOLOGIA EN PRODUCCION;2015;1;35
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2015;1;194
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2014;1;34
6537;TECNOLOGIA EN TELECOMUNICACIONES;2014;1;73
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2015;1;112
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2015;1;61
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2014;1;176
6537;TECNOLOGIA EN TELECOMUNICACIONES;2015;2;62
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2015;2;38
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;1;166
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2014;1;120
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2015;1;34
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2014;1;110
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2015;2;155
52131;INGENIERIA DE PRODUCCION;2015;1;143
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2015;2;169
2114;TECNOLOGIA EN ELECTROMECANICA;2014;1;74
6537;TECNOLOGIA EN TELECOMUNICACIONES;2014;2;89
52299;INGENIERIA DE TELECOMUNICACIONES;2014;1;95
53802;TECNOLOGIA EN PRODUCCION;2015;2;113
52129;INGENIERIA ELECTRONICA;2014;1;40
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2014;2;128
52205;INGENIERIA DE SISTEMAS;2014;1;86
52299;INGENIERIA DE TELECOMUNICACIONES;2014;2;51
52131;INGENIERIA DE PRODUCCION;2014;2;90
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2014;1;39
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2014;2;257
52130;INGENIERIA ELECTROMECANICA;2015;2;34
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;2;170
52299;INGENIERIA DE TELECOMUNICACIONES;2015;1;32
53340;INGENIERIA BIOMEDICA;2015;1;18
53802;TECNOLOGIA EN PRODUCCION;2014;1;132
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2014;2;78
52131;INGENIERIA DE PRODUCCION;2014;1;78
53340;INGENIERIA BIOMEDICA;2015;2;59
11085;TECNOLOGIA EN ELECTRONICA;2014;1;41
55072;ADMINISTRACION TECNOLOGICA;2015;2;31
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2015;1;31
11085;TECNOLOGIA EN ELECTRONICA;2015;2;19
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2014;1;77
52299;INGENIERIA DE TELECOMUNICACIONES;2015;2;30
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2015;1;48
52130;INGENIERIA ELECTROMECANICA;2014;1;61
53802;TECNOLOGIA EN PRODUCCION;2014;2;117
2114;TECNOLOGIA EN ELECTROMECANICA;2015;2;49
52129;INGENIERIA ELECTRONICA;2015;1;18
52130;INGENIERIA ELECTROMECANICA;2014;2;47
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2014;2;37
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2015;2;92
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2015;1;30
2114;TECNOLOGIA EN ELECTROMECANICA;2014;2;63
6537;TECNOLOGIA EN TELECOMUNICACIONES;2015;1;61
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2015;2;62
11085;TECNOLOGIA EN ELECTRONICA;2015;1;10
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2014;2;65
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2014;2;29
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2014;2;32
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2015;2;91
52129;INGENIERIA ELECTRONICA;2014;2;20
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2014;2;28
52131;INGENIERIA DE PRODUCCION;2015;2;71
53800;TECNOLOGIA EN CALIDAD;2015;2;33
53800;TECNOLOGIA EN CALIDAD;2014;2;49
53800;TECNOLOGIA EN CALIDAD;2015;1;47
11085;TECNOLOGIA EN ELECTRONICA;2014;2;30
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2015;2;36
52130;INGENIERIA ELECTROMECANICA;2015;1;38
53800;TECNOLOGIA EN CALIDAD;2014;1;61
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2014;1;39
52129;INGENIERIA ELECTRONICA;2015;2;17
90355;ARTES VISUALES;2015;2;7
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2015;1;7
53340;INGENIERIA BIOMEDICA;2014;1;45
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2015;1;37
2114;TECNOLOGIA EN ELECTROMECANICA;2015;1;42
52205;INGENIERIA DE SISTEMAS;2014;2;45
52205;INGENIERIA DE SISTEMAS;2015;1;28
55018;ESPECIALIZACION EN FINANZAS;2014;1;10
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2015;2;29
55072;ADMINISTRACION TECNOLOGICA;2014;2;4
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2014;1;41
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2015;1;45
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2015;2;13
55018;ESPECIALIZACION EN FINANZAS;2015;2;15
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2014;1;36
52205;INGENIERIA DE SISTEMAS;2015;2;27
53340;INGENIERIA BIOMEDICA;2014;2;30
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2014;2;2
55072;ADMINISTRACION TECNOLOGICA;2015;1;7
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2015;2;36
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2014;1;10
17719;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2015;1;4
