CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;INSCRITOS
2114;TECNOLOGIA EN ELECTROMECANICA;2014;1;446
6537;TECNOLOGIA EN TELECOMUNICACIONES;2014;1;508
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2014;1;118
11085;TECNOLOGIA EN ELECTRONICA;2014;1;254
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2014;1;247
52129;INGENIERIA ELECTRONICA;2014;1;86
52130;INGENIERIA ELECTROMECANICA;2014;1;146
52131;INGENIERIA DE PRODUCCION;2014;1;227
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2014;1;202
52205;INGENIERIA DE SISTEMAS;2014;1;127
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2014;1;91
52299;INGENIERIA DE TELECOMUNICACIONES;2014;1;118
53340;INGENIERIA BIOMEDICA;2014;1;502
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2014;1;4
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2014;1;181
53800;TECNOLOGIA EN CALIDAD;2014;1;359
53802;TECNOLOGIA EN PRODUCCION;2014;1;658
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;1;823
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2014;1;367
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2014;1;9
54260;TECNOLOGIA EN SISTEMAS DE INFORMACION;2014;1;797
54261;TECNOLOGIA EN GESTION ADMINISTRATIVA;2014;1;938
55018;ESPECIALIZACION EN FINANZAS;2014;1;36
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2014;1;105
55072;ADMINISTRACION TECNOLOGICA;2014;1;271
90355;ARTES VISUALES;2014;1;136
90442;INGENIERIA MECATRONICA;2014;1;424
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2014;1;15
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2014;1;25
2114;TECNOLOGIA EN ELECTROMECANICA;2015;1;389
6537;TECNOLOGIA EN TELECOMUNICACIONES;2015;1;399
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2015;1;91
11085;TECNOLOGIA EN ELECTRONICA;2015;1;257
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2015;1;940
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2015;1;184
52129;INGENIERIA ELECTRONICA;2015;1;72
52130;INGENIERIA ELECTROMECANICA;2015;1;129
52131;INGENIERIA DE PRODUCCION;2015;1;164
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2015;1;192
52205;INGENIERIA DE SISTEMAS;2015;1;139
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2015;1;61
52299;INGENIERIA DE TELECOMUNICACIONES;2015;1;123
53340;INGENIERIA BIOMEDICA;2015;1;494
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2015;1;10
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2015;1;213
53800;TECNOLOGIA EN CALIDAD;2015;1;224
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2015;1;750
53802;TECNOLOGIA EN PRODUCCION;2015;1;517
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2015;1;843
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2015;1;292
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2015;1;18
55018;ESPECIALIZACION EN FINANZAS;2015;1;33
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2015;1;127
55072;ADMINISTRACION TECNOLOGICA;2015;1;292
90355;ARTES VISUALES;2015;1;148
90442;INGENIERIA MECATRONICA;2015;1;444
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2015;1;16
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2015;1;31
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2015;1;16
103928;INGENIERIA EN DISEÑO INDUSTRIAL;2015;1;2
2114;TECNOLOGIA EN ELECTROMECANICA;2016;1;391
6537;TECNOLOGIA EN TELECOMUNICACIONES;2016;1;374
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2016;1;84
11085;TECNOLOGIA EN ELECTRONICA;2016;1;238
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2016;1;959
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2016;1;149
52129;INGENIERIA ELECTRÓNICA;2016;1;54
52130;INGENIERIA ELECTROMECÁNICA;2016;1;120
52131;INGENIERIA DE PRODUCCIÓN;2016;1;163
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2016;1;196
52205;INGENIERIA DE SISTEMAS;2016;1;127
52299;INGENIERÍA DE TELECOMUNICACIONES;2016;1;77
53340;INGENIERÍA BIOMÉDICA;2016;1;460
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2016;1;11
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2016;1;151
53800;TECNOLOGIA EN CALIDAD;2016;1;274
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2016;1;934
53802;TECNOLOGIA EN PRODUCCIÓN;2016;1;517
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2016;1;858
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2016;1;186
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2016;1;16
55018;ESPECIALIZACIÓN EN FINANZAS;2016;1;30
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2016;1;124
55072;ADMINISTRACIÓN TECNÓLOGICA;2016;1;342
90355;ARTES VISUALES;2016;1;141
90442;INGENIERÍA MECATRÓNICA;2016;1;533
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2016;1;12
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2016;1;26
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2016;1;33
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2016;1;281
104332;QUÍMICA INDUSTRIAL;2016;1;66
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2016;1;151
104740;MAESTRÍA EN ARTES DIGITALES;2016;1;20
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2016;1;15
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2017;1;10
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2017;1;13
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2017;1;23
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2017;1;287
104332;QUÍMICA INDUSTRIAL;2017;1;88
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2017;1;159
104740;MAESTRÍA EN ARTES DIGITALES;2017;1;6
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2017;1;9
105852;CONTADURÍA PÚBLICA;2017;1;400
11085;TECNOLOGIA EN ELECTRONICA;2017;1;217
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2017;1;941
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2017;1;95
2114;TECNOLOGIA EN ELECTROMECANICA;2017;1;400
52129;INGENIERIA ELECTR¿NICA;2017;1;43
52130;INGENIERIA ELECTROMEC¿NICA;2017;1;91
52131;INGENIERIA DE PRODUCCIÓN;2017;1;179
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2017;1;213
52205;INGENIERIA DE SISTEMAS;2017;1;115
52299;INGENIER¿A DE TELECOMUNICACIONES;2017;1;96
53340;INGENIERÍA BIOMÉDICA;2017;1;468
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2017;1;13
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2017;1;173
53800;TECNOLOGIA EN CALIDAD;2017;1;185
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2017;1;969
53802;TECNOLOGIA EN PRODUCCIÓN;2017;1;429
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2017;1;794
53806;TECNOLOG¿A EN DISE¿O INDUSTRIAL;2017;1;171
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2017;1;18
55018;ESPECIALIZACIÓN EN FINANZAS;2017;1;39
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2017;1;94
55072;ADMINISTRACIÓN TECNÓLOGICA;2017;1;303
6537;TECNOLOGIA EN TELECOMUNICACIONES;2017;1;295
90355;ARTES VISUALES;2017;1;129
90442;INGENIERÍA MECATRÓNICA;2017;1;526
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2017;1;120
0;SIN PROGRAMA ESPECIFICO;2018;1;3
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2018;1;17
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2018;1;12
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2018;1;10
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2018;1;185
104332;QUÍMICA INDUSTRIAL;2018;1;94
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2018;1;165
104740;MAESTRÍA EN ARTES DIGITALES;2018;1;18
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2018;1;35
105852;CONTADURÍA PÚBLICA;2018;1;375
106188;INGENIERÍA DE LA CALIDAD;2018;1;126
106314;CINE;2018;1;177
11085;TECNOLOGIA EN ELECTRONICA;2018;1;201
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2018;1;943
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2018;1;145
2114;TECNOLOGIA EN ELECTROMECANICA;2018;1;306
52129;INGENIERIA ELECTRÓNICA;2018;1;57
52130;INGENIERIA ELECTROMECÁNICA;2018;1;92
52131;INGENIERIA DE PRODUCCIÓN;2018;1;121
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2018;1;188
52205;INGENIERIA DE SISTEMAS;2018;1;110
52299;INGENIERÍA DE TELECOMUNICACIONES;2018;1;59
53340;INGENIERÍA BIOMÉDICA;2018;1;319
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2018;1;11
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2018;1;167
53800;TECNOLOGIA EN CALIDAD;2018;1;190
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2018;1;803
53802;TECNOLOGIA EN PRODUCCIÓN;2018;1;333
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2018;1;726
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2018;1;169
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2018;1;17
55018;ESPECIALIZACIÓN EN FINANZAS;2018;1;35
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2018;1;95
55072;ADMINISTRACIÓN TECNÓLOGICA;2018;1;269
6537;TECNOLOGIA EN TELECOMUNICACIONES;2018;1;301
90355;ARTES VISUALES;2018;1;100
90442;INGENIERÍA MECATRÓNICA;2018;1;372
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2018;1;175
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2019;1;11
