CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;MATRICULADOS
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;2022;1;6
2114;TECNOLOGIA EN ELECTROMECANICA;2022;1;128
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2022;1;1
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2022;1;13
6536;TECNOLOGIA EN PRODUCCION;2022;1;3
6537;TECNOLOGIA EN TELECOMUNICACIONES;2022;1;85
8483;TECNOLOGIA EN CALIDAD;2022;1;2
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;2022;1;3
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2022;1;626
11085;TECNOLOGIA EN ELECTRONICA;2022;1;83
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2022;1;3183
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2022;1;317
52129;INGENIERIA ELECTRÓNICA;2022;1;187
52130;INGENIERIA ELECTROMECÁNICA;2022;1;337
52131;INGENIERIA DE PRODUCCIÓN;2022;1;525
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2022;1;77
52205;INGENIERIA DE SISTEMAS;2022;1;501
52299;INGENIERÍA DE TELECOMUNICACIONES;2022;1;231
53340;INGENIERÍA BIOMÉDICA;2022;1;1396
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2022;1;18
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2022;1;529
53800;TECNOLOGIA EN CALIDAD;2022;1;250
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2022;1;370
53802;TECNOLOGIA EN PRODUCCIÓN;2022;1;246
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2022;1;1914
53806;TECNOLOGÍA EN DISEÑO INDUSTRIAL;2022;1;423
53892;MAESTRÍA EN AUTOMATIZACIÓN Y CONTROL INDUSTRIAL;2022;1;40
55018;ESPECIALIZACIÓN EN FINANZAS;2022;1;40
55019;ESPECIALIZACIÓN EN FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;2022;1;117
55072;ADMINISTRACIÓN TECNÓLOGICA;2022;1;1784
55105;FÍSICA;2022;1;2
90355;ARTES VISUALES;2022;1;325
90442;INGENIERÍA MECATRÓNICA;2022;1;1718
101804;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2022;1;8
101977;MAESTRÍA EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA, COOPERACIÓN Y DESARROLLO REGIONAL;2022;1;22
102977;MAESTRÍA EN DESARROLLO SOSTENIBLE;2022;1;21
103841;MAESTRIA EN SEGURIDAD INFORMÁTICA;2022;1;46
103928;INGENIERÍA EN DISEÑO INDUSTRIAL;2022;1;731
104318;MAESTRÍA EN INGENIERÍA BIOMÉDICA;2022;1;18
104332;QUÍMICA INDUSTRIAL;2022;1;448
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2022;1;385
104740;MAESTRÍA EN ARTES DIGITALES;2022;1;28
104905;MAESTRÍA EN CIENCIAS: INNOVACION EN EDUCACIÓN;2022;1;35
105852;CONTADURÍA PÚBLICA;2022;1;1493
106188;INGENIERÍA DE LA CALIDAD;2022;1;421
106314;CINE;2022;1;315
106505;MAESTRÍA EN METROLOGÍA;2022;1;1
106584;MAESTRÍA EN GESTIÓN DE ORGANIZACIONES;2022;1;32
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;2022;1;608
106973;DOCTORADO EN INGENIERÍA;2022;1;22
107004;TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;2022;1;448
107381;TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;2022;1;507
107390;INGENIERIA FINANCIERA;2022;1;729
107391;CIENCIAS AMBIENTALES;2022;1;308
107423;MAESTRÍA EN ESTUDIOS DE CIENCIA, TECNOLOGÍA, SOCIEDAD E INNOVACIÓN;2022;1;11
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCIÓN;2022;1;433
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;2022;1;1917
107695;ESPECIALIZACIÓN EN GESTIÓN DE SISTEMAS ENERGÉTICOS INDUSTRIALES;2022;1;12
107696;TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA;2022;1;499
107943;TECNOLOGÍA EN ANÁLISIS DE COSTOS Y PRESUPUESTOS;2022;1;193
108394;TECNOLOGÍA EN DISEÑO Y PROGRAMACIÓN DE SOLUCIONES DE SOFTWARE COMO SERVICIO;2022;1;124
108639;TECNOLOGÍA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MÓVILES;2022;1;65
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;2022;1;339
109927;INTERPRETACIÓN Y TRADUCCIÓN LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2022;1;45
2114;TECNOLOGIA EN ELECTROMECANICA;2014;1;1171
6537;TECNOLOGIA EN TELECOMUNICACIONES;2014;1;1364
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2014;1;447
11085;TECNOLOGIA EN ELECTRONICA;2014;1;676
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2014;1;3135
17719;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;1;31
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2014;1;372
52129;INGENIERIA ELECTRONICA;2014;1;211
52130;INGENIERIA ELECTROMECANICA;2014;1;452
52131;INGENIERIA DE PRODUCCION;2014;1;594
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2014;1;668
52205;INGENIERIA DE SISTEMAS;2014;1;462
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2014;1;205
52299;INGENIERIA DE TELECOMUNICACIONES;2014;1;384
53340;INGENIERIA BIOMEDICA;2014;1;1622
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2014;1;17
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2014;1;548
53800;TECNOLOGIA EN CALIDAD;2014;1;834
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2014;1;2317
53802;TECNOLOGIA EN PRODUCCION;2014;1;1693
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;1;2471
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2014;1;1157
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2014;1;31
55018;ESPECIALIZACION EN FINANZAS;2014;1;20
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2014;1;88
55072;ADMINISTRACION TECNOLOGICA;2014;1;839
55105;FISICA;2014;1;21
90355;ARTES VISUALES;2014;1;248
90442;INGENIERIA MECATRONICA;2014;1;962
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2014;1;16
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2014;1;22
2114;TECNOLOGIA EN ELECTROMECANICA;2015;1;1097
6537;TECNOLOGIA EN TELECOMUNICACIONES;2015;1;1207
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2015;1;373
11085;TECNOLOGIA EN ELECTRONICA;2015;1;640
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2015;1;3122
17719;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2015;1;9
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2015;1;358
52129;INGENIERIA ELECTRONICA;2015;1;237
52130;INGENIERIA ELECTROMECANICA;2015;1;465
52131;INGENIERIA DE PRODUCCION;2015;1;493
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2015;1;637
52205;INGENIERIA DE SISTEMAS;2015;1;437
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2015;1;166
52299;INGENIERIA DE TELECOMUNICACIONES;2015;1;353
53340;INGENIERIA BIOMEDICA;2015;1;1742
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2015;1;25
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2015;1;592
53800;TECNOLOGIA EN CALIDAD;2015;1;701
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2015;1;2112
53802;TECNOLOGIA EN PRODUCCION;2015;1;1541
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2015;1;2600
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2015;1;1036
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2015;1;39
55018;ESPECIALIZACION EN FINANZAS;2015;1;31
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2015;1;145
55072;ADMINISTRACION TECNOLOGICA;2015;1;1048
55105;FISICA;2015;1;14
90355;ARTES VISUALES;2015;1;291
90442;INGENIERIA MECATRONICA;2015;1;1181
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2015;1;23
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2015;1;32
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;2015;1;11
103841;MAESTRIA EN SEGURIDAD INFORMATICA;2015;1;10
103928;INGENIERIA EN DISEÑO INDUSTRIAL;2015;1;60
2114;TECNOLOGIA EN ELECTROMECANICA;2016;1;1094
6537;TECNOLOGIA EN TELECOMUNICACIONES;2016;1;1099
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2016;1;310
11085;TECNOLOGIA EN ELECTRONICA;2016;1;628
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2016;1;3367
17719;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2016;1;3
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2016;1;322
52129;INGENIERIA ELECTRÓNICA;2016;1;231
52130;INGENIERIA ELECTROMECÁNICA;2016;1;467
52131;INGENIERIA DE PRODUCCIÓN;2016;1;511
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2016;1;635
52205;INGENIERIA DE SISTEMAS;2016;1;436
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2016;1;81
52299;INGENIERÍA DE TELECOMUNICACIONES;2016;1;360
53340;INGENIERÍA BIOMÉDICA;2016;1;1856
53798;MAESTRÍA EN GESTIÓN ENERGÉTICA INDUSTRIAL;2016;1;27
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2016;1;543
53800;TECNOLOGIA EN CALIDAD;2016;1;731
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2016;1;2205
53802;TECNOLOGIA EN PRODUCCIÓN;2016;1;1478
