CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;AÑO;SEMESTRE;PRIMIPAROS
2114;TECNOLOGIA EN ELECTROMECANICA;2014;1;244
6537;TECNOLOGIA EN TELECOMUNICACIONES;2014;1;253
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2014;1;59
11085;TECNOLOGIA EN ELECTRONICA;2014;1;138
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;2014;1;534
17719;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;1;1
17720;TECNOLOGIA EN INFORMATICA MUSICAL;2014;1;80
52129;INGENIERIA ELECTRONICA;2014;1;46
52130;INGENIERIA ELECTROMECANICA;2014;1;97
52131;INGENIERIA DE PRODUCCION;2014;1;130
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;2014;1;108
52205;INGENIERIA DE SISTEMAS;2014;1;73
52272;INGENIERIA EN DISEÑO INDUSTRIAL;2014;1;49
52299;INGENIERIA DE TELECOMUNICACIONES;2014;1;54
53340;INGENIERIA BIOMEDICA;2014;1;306
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2014;1;1
53799;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2014;1;110
53800;TECNOLOGIA EN CALIDAD;2014;1;218
53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;2014;1;470
53802;TECNOLOGIA EN PRODUCCION;2014;1;356
53803;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;2014;1;449
53806;TECNOLOGIA EN DISEÑO INDUSTRIAL;2014;1;221
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2014;1;3
55018;ESPECIALIZACION EN FINANZAS;2014;1;20
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2014;1;58
55072;ADMINISTRACION TECNOLOGICA;2014;1;174
90355;ARTES VISUALES;2014;1;37
90442;INGENIERIA MECATRONICA;2014;1;310
101804;MAESTRIA EN ESTUDIOS DE CIENCIA, TECNOLOGIA, SOCIEDAD E INNOVACION;2014;1;7
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;2014;1;14
2114;TECNOLOGIA EN ELECTROMECANICA;2015;1;220
6537;TECNOLOGIA EN TELECOMUNICACIONES;2015;1;226
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;2015;1;53
11085;TECNOLOGIA EN ELECTRONICA;2015;1;149
