CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO ;PROGRAMA ACADÉMICO SIA;AÑO;SEMESTRE;ADMITIDOS
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2023;1;27
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2023;1;85
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - VIRTUAL;2023;1;45
104682;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;ARTES DE LA GRABACION Y PRODUCCION MUSICAL;2023;1;19
90355;ARTES VISUALES;ARTES VISUALES;2023;1;20
107004;TECNOLOGIA EN AUTOMATIZACION ELECTRONICA;AUTOMATIZACION ELECTRONICA;2023;1;31
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2023;1;3
107391;CIENCIAS AMBIENTALES;CIENCIAS AMBIENTALES;2023;1;8
106314;CINE;CINE;2023;1;18
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2023;1;25
105852;CONTADURIA PUBLICA;CONTADURIA PUBLICA;2023;1;123
108789;TECNOLOGIA EN CONTROL DE LA CALIDAD;CONTROL DE LA CALIDAD;2023;1;35
108639;TECNOLOGIA EN DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES - VIRTUAL;2023;1;13
107535;TECNOLOGIA EN DESARROLLO DE SOFTWARE;DESARROLLO DE SOFTWARE;2023;1;193
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2023;1;21
108394;TECNOLOGIA EN DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO;DISEÑO Y PROGRAMACION DE SOLUCIONES DE SOFTWARE COMO SERVICIO - VIRTUAL;2023;1;25
106973;DOCTORADO EN INGENIERIA;DOCTORADO EN INGENIERIA;2023;1;1
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2023;1;1
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2023;1;114
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA - VIRTUAL;2023;1;90
107381;TECNOLOGIA EN GESTION DE REDES DE  TELECOMUNICACIONES;GESTION DE REDES DE TELECOMUNICACIONES;2023;1;38
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2023;1;11
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2023;1;63
106188;INGENIERIA DE LA CALIDAD;INGENIERIA DE LA CALIDAD;2023;1;42
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2023;1;54
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2023;1;65
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2023;1;22
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2023;1;41
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2023;1;28
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL;2023;1;41
107390;INGENIERIA FINANCIERA;INGENIERIA FINANCIERA;2023;1;107
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2023;1;1
90442;INGENIERIA MECATRONICA;INGENIERIA MECATRONICA;2023;1;56
109927;INTERPRETACION Y TRADUCCION LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;INTERPRETACION Y TRADUCCION LENGUA DE SEÑAS COLOMBIANA - ESPAÑOL;2023;1;2
104905;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;MAESTRIA EN CIENCIAS: INNOVACION EN EDUCACION;2023;1;2
102977;MAESTRIA EN DESARROLLO SOSTENIBLE;MAESTRIA EN DESARROLLO SOSTENIBLE;2023;1;1
101977;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA, COOPERACION Y DESARROLLO REGIONAL;MAESTRIA EN GESTION DE LA INNOVACION TECNOLOGICA COOPERACION Y DESARROLLO REGIONAL;2023;1;2
106584;MAESTRIA EN GESTION DE ORGANIZACIONES;MAESTRIA EN GESTION DE ORGANIZACIONES;2023;1;1
104318;MAESTRIA EN INGENIERIA BIOMEDICA;MAESTRIA EN INGENIERIA BIOMEDICA;2023;1;1
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2023;1;19
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2023;1;1
104332;QUIMICA INDUSTRIAL;QUIMICA INDUSTRIAL;2023;1;33
107534;TECNOLOGIA EN SISTEMAS DE PRODUCCION;SISTEMAS DE PRODUCCION;2023;1;29
106810;TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;SISTEMAS ELECTROMECANICOS;2023;1;43
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2023;2;22
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2023;2;74
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - VIRTUAL;2023;2;73
