CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO ;PROGRAMA ACADÉMICO SIA;AÑO;SEMESTRE;EGRESADOS
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2014;1;166
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - A DISTANCIA;2014;1;26
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2014;1;60
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2014;1;38
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2014;1;77
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2014;1;73
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2014;1;41
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2014;1;10
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2014;1;38
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2014;1;169
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2014;1;33
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2014;1;45
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2014;1;77
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2014;1;85
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2014;1;94
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2014;1;60
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2014;1;40
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL CICLO COMPLEMENTARIO;2014;1;36
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2014;1;117
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2014;1;10
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2014;1;5
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2014;1;40
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2014;1;126
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2014;1;108
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2014;1;73
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2014;2;4
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2014;2;168
4750;ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - A DISTANCIA;2014;2;8
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2014;2;47
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2014;2;26
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2014;2;64
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2014;2;63
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2014;2;30
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2014;2;2
55019;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;ESPECIALIZACION EN FORMULACION Y EVALUACION DE PROYECTOS;2014;2;37
107695;ESPECIALIZACION EN GESTION ENERGETICA INDUSTRIAL;ESPECIALIZACION EN GESTION ENERGETICA INDUSTRIAL;2014;2;7
15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;GESTION ADMINISTRATIVA;2014;2;253
17720;TECNOLOGIA EN INFORMATICA MUSICAL;INFORMATICA MUSICAL;2014;2;28
53340;INGENIERIA BIOMEDICA;INGENIERIA BIOMEDICA;2014;2;30
52131;INGENIERIA DE PRODUCCION;INGENIERIA DE PRODUCCION;2014;2;88
52205;INGENIERIA DE SISTEMAS;INGENIERIA DE SISTEMAS;2014;2;44
52299;INGENIERIA DE TELECOMUNICACIONES;INGENIERIA DE TELECOMUNICACIONES;2014;2;51
52130;INGENIERIA ELECTROMECANICA;INGENIERIA ELECTROMECANICA;2014;2;46
52129;INGENIERIA ELECTRONICA;INGENIERIA ELECTRONICA;2014;2;20
52272;INGENIERIA EN DISEÑO INDUSTRIAL;INGENIERIA EN DISEÑO INDUSTRIAL CICLO COMPLEMENTARIO;2014;2;32
52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;INGENIERIA FINANCIERA Y DE NEGOCIOS;2014;2;128
53892;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;MAESTRIA EN AUTOMATIZACION Y CONTROL INDUSTRIAL;2014;2;2
53798;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;MAESTRIA EN GESTION ENERGETICA INDUSTRIAL;2014;2;1
9466;TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;MANTENIMIENTO DE EQUIPO BIOMEDICO;2014;2;29
6536;TECNOLOGIA EN PRODUCCION;PRODUCCION;2014;2;117
8485;TECNOLOGIA EN SISTEMAS DE INFORMACION;SISTEMAS DE INFORMACION;2014;2;76
6537;TECNOLOGIA EN TELECOMUNICACIONES;TELECOMUNICACIONES;2014;2;87
55072;ADMINISTRACION TECNOLOGICA;ADMINISTRACION TECNOLOGICA;2015;1;7
4750;TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS;2015;1;128
4750;ANALISIS DE COSTOS Y PRESUPUESTOS;ANALISIS DE COSTOS Y PRESUPUESTOS - A DISTANCIA;2015;1;5
53800;TECNOLOGIA EN CALIDAD;CALIDAD;2015;1;48
4277;TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;CONSTRUCCION DE ACABADOS ARQUITECTONICOS;2015;1;31
1518;TECNOLOGIA EN DISEÑO INDUSTRIAL;DISEÑO INDUSTRIAL;2015;1;39
2114;TECNOLOGIA EN ELECTROMECANICA;ELECTROMECANICA;2015;1;70
11085;TECNOLOGIA EN ELECTRONICA;ELECTRONICA;2015;1;33
55018;ESPECIALIZACION EN FINANZAS;ESPECIALIZACION EN FINANZAS;2015;1;13
