CÓDIGO DE LA INSTITUCIÓN;IES PADRE;INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES);PRINCIPAL O SECCIONAL;ID SECTOR IES;SECTOR IES;IES ACREDITADA;ID CARACTER;CARACTER IES;CÓDIGO DEL DEPARTAMENTO (IES);DEPARTAMENTO DE DOMICILIO DE LA IES;CÓDIGO DEL MUNICIPIO (IES);MUNICIPIO DE DOMICILIO DE LA IES;CÓDIGO SNIES DEL PROGRAMA;PROGRAMA ACADÉMICO;PROGRAMA ACREDITADO;ID NIVEL ACADÉMICO;NIVEL ACADÉMICO;ID NIVEL DE FORMACIÓN;NIVEL DE FORMACIÓN;ID METODOLOGÍA;METODOLOGÍA;ID ÁREA DE CONOCIMIENTO;ÁREA DE CONOCIMIENTO;ID NÚCLEO;NÚCLEO BÁSICO DEL CONOCIMIENTO (NBC);ID CINE CAMPO AMPLIO;DESC CINE CAMPO AMPLIO;ID CINE CAMPO ESPECIFICO;DESC CINE CAMPO ESPECIFICO;ID CINE CODIGO DETALLADO;DESC CINE CODIGO DETALLADO;CÓDIGO DEL DEPARTAMENTO (PROGRAMA);DEPARTAMENTO DE OFERTA DEL PROGRAMA;CÓDIGO DEL MUNICIPIO (PROGRAMA);MUNICIPIO DE OFERTA DEL PROGRAMA;ID SEXO;SEXO;AÑO;SEMESTRE;GRADUADOS
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53802;TECNOLOGIA EN PRODUCCION;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;830;INGENIERIA INDUSTRIAL Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2015;1;15
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;6;ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2015;1;69
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;17720;TECNOLOGIA EN INFORMATICA MUSICAL;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;2;BELLAS ARTES;28;MUSICA;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2014;1;30
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;6537;TECNOLOGIA EN TELECOMUNICACIONES;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;829;INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2014;1;17
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52204;INGENIERIA FINANCIERA Y DE NEGOCIOS;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;821;INGENIERIA ADMINISTRATIVA Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2015;1;84
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;53801;TECNOLOGIA EN SISTEMAS DE INFORMACION;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;827;INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2015;1;42
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;6;ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2014;1;52
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;6537;TECNOLOGIA EN TELECOMUNICACIONES;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;829;INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;1;HOMBRE;2015;2;43
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;15600;TECNOLOGIA EN GESTION ADMINISTRATIVA;;1;PREGRADO;5;TECNOLOGICA;1;PRESENCIAL;6;ECONOMIA, ADMINISTRACION, CONTADURIA Y AFINES;69;ADMINISTRACION;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2014;1;124
3302;3302;INSTITUTO TECNOLOGICO METROPOLITANO;PRINCIPAL;1;OFICIAL;;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;5;ANTIOQUIA;5001;MEDELLÍN;52272;INGENIERIA EN DISEÑO INDUSTRIAL;;1;PREGRADO;6;UNIVERSITARIA;1;PRESENCIAL;8;INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES;830;INGENIERIA INDUSTRIAL Y AFINES;;;;;;;5;ANTIOQUIA;5001;MEDELLÍN;2;MUJER;2015;2;18
