NOMBRE;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2
3302-1518-TECNOLOGIA EN DISEÑO INDUSTRIAL;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;47.14%;45.93%;39.66%;23.21%;23.41%;27.14%;23.49%;24.51%;18.28%;23.73%;15.98%;19.74%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;20.31%;97.04%;100%
3302-2114-TECNOLOGIA EN ELECTROMECANICA;TASA DE DESERCIÓN;0%;0%;17.65%;10.84%;15.99%;10.82%;16.23%;13.4%;14.66%;16.42%;10.75%;14.6%;11.44%;8.76%;10.87%;11.97%;20.1%;21.78%;26.86%;27.33%;30.87%;35.71%;36.17%;20.85%;15.56%;18.01%;24.67%;27.42%;18.37%;21.93%;16.52%;27.22%;22.99%;18.01%;17.56%;23.25%;18.23%;22.76%;22.99%;20.85%;20.07%;21.24%;22.32%;17.59%;20.71%;16.04%;6.11%;9.74%;8.29%;12.33%
3302-2240-TECNOLOGIA EN SECRETARIADO EJECUTIVO;TASA DE DESERCIÓN;0%;0%;10.17%;17.02%;13.87%;12.5%;21%;13.25%;10.18%;9.33%;12.99%;13.2%;11.58%;6.61%;5.13%;2.7%;7.14%;22.22%;56.25%;0%;28.57%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
3302-4277-TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;38.71%;62.5%;54.84%;47.41%;28.57%;27.11%;28.51%;23.67%;18.54%;23.66%;17.98%;18.04%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;20.29%;0%
3302-4750-TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;35%;33.05%;31.71%;17.97%;19.56%;23.01%;22.22%;23.03%;13.63%;17.33%;13.65%;17.74%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;19.5%;97.86%;0%;28.57%
3302-6536-TECNOLOGIA EN PRODUCCION;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;35.07%;35.67%;34.23%;22.96%;18.86%;21.74%;25.73%;21.37%;17.39%;19.76%;15.05%;15.9%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;22.04%;96.68%;0%;0%;0%
3302-6537-TECNOLOGIA EN TELECOMUNICACIONES;TASA DE DESERCIÓN;0%;0%;0%;22.73%;18.3%;13.04%;17.72%;14.66%;14.86%;18.14%;10.28%;16.36%;12.56%;12.76%;14.4%;14.87%;20.3%;20.7%;24.32%;27.29%;31.71%;38.15%;32.91%;20.19%;19.81%;24.5%;30.1%;30.62%;26.02%;20.7%;21.21%;28.56%;20.56%;17.89%;18.65%;22.19%;20.48%;22.11%;24.71%;27.3%;22.94%;25.38%;26.41%;27.1%;21.56%;20.44%;8.37%;9.52%;11.76%;10%
3302-8483-TECNOLOGIA EN CALIDAD;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;44.57%;36.25%;37.66%;24.15%;22.14%;27.4%;25.98%;25.52%;20.15%;25.42%;18.69%;22.63%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;23.09%;100%;50%
3302-8485-TECNOLOGIA EN SISTEMAS DE INFORMACION;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;36.95%;40.47%;38.4%;24.16%;18.92%;25.28%;27.29%;34.12%;26.43%;23.66%;18.52%;21.79%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;24.7%;99.37%;0%
3302-9466-TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;26.32%;16.78%;18.57%;18.94%;18.78%;14.74%;14.32%;17.28%;18.87%;23.44%;23.08%;25.61%;24.72%;35.98%;40.65%;39.32%;30.26%;17.73%;21.41%;28.64%;26.35%;21.24%;26.09%;25.23%;29.67%;20.81%;18.85%;17.48%;23.24%;18.13%;24.32%;25.17%;25.09%;22.14%;19.59%;27.07%;25.78%;27.55%;22.49%;11.98%;14.46%;17.69%;16.16%
