NOMBRE;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2
3302-1518-TECNOLOGIA EN DISEÑO INDUSTRIAL;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;47.48%;45.61%;39.66%;23.21%;23.63%;27.01%;23.49%;24.69%;18.3%;23.76%;16%;19.72%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;20.31%
3302-2114-TECNOLOGIA EN ELECTROMECANICA;TASA DE DESERCIÓN;0%;0%;17.65%;10.84%;16.04%;10.88%;16.29%;13.45%;14.7%;16.47%;10.79%;14.48%;11.44%;8.76%;10.87%;11.99%;20.13%;21.82%;26.92%;27.38%;30.92%;35.73%;36.18%;20.75%;15.56%;17.91%;24.64%;27.58%;18.26%;21.9%;16.5%;27.22%;22.91%;18.01%;17.8%;23.32%;18.26%;22.89%;23.06%;20.92%;20.13%;21.26%;22.41%;17.59%;20.71%;16.04%;6.11%;9.74%
3302-2240-TECNOLOGIA EN SECRETARIADO EJECUTIVO;TASA DE DESERCIÓN;0%;0%;10.17%;17.02%;13.87%;12.5%;21%;13.25%;10.18%;9.33%;12.99%;13.2%;11.58%;6.61%;5.13%;2.7%;7.14%;22.22%;56.25%;0%;28.57%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
3302-4277-TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;38.71%;62.5%;54.84%;47.41%;28.57%;27.23%;28.76%;23.77%;18.67%;23.78%;17.78%;18.12%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
3302-4750-TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;35.32%;33.33%;31.87%;18.18%;19.63%;23.1%;22.13%;23.36%;13.71%;17.52%;13.75%;17.88%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;19.54%;97.85%
3302-6536-TECNOLOGIA EN PRODUCCION;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;35.24%;35.69%;34.42%;22.94%;19.06%;21.71%;25.58%;21.37%;17.5%;19.8%;14.91%;15.9%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;22.13%;96.68%;0%
3302-6537-TECNOLOGIA EN TELECOMUNICACIONES;TASA DE DESERCIÓN;0%;0%;0%;22.73%;18.3%;13.04%;17.72%;14.66%;14.86%;18.14%;10.28%;16.38%;12.59%;12.69%;14.46%;14.95%;20.27%;20.93%;24.46%;27.39%;31.63%;38.24%;32.98%;20.22%;19.72%;24.5%;30.1%;30.68%;26.02%;20.7%;21.19%;28.58%;20.58%;17.99%;18.99%;22.39%;20.42%;22.23%;24.75%;27.33%;23.1%;25.34%;26.47%;27.19%;21.51%;20.73%;8.37%;9.52%
3302-8483-TECNOLOGIA EN CALIDAD;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;45.05%;36.48%;37.66%;24.15%;22.14%;27.4%;25.98%;25.58%;20.19%;25.46%;18.72%;22.67%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;23.13%;100%;0%;0%
3302-8485-TECNOLOGIA EN SISTEMAS DE INFORMACION;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;37.2%;40.47%;38.46%;24.06%;19.01%;25.34%;27.31%;34.25%;26.28%;23.64%;18.58%;21.75%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;24.76%
3302-9466-TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;26.32%;16.83%;18.35%;18.94%;18.78%;14.74%;14.35%;17.1%;18.87%;23.44%;23.08%;25.61%;24.72%;35.98%;40.65%;39.53%;30.15%;18.31%;21.52%;29.05%;26.55%;21.39%;26.25%;25.35%;29.84%;20.67%;18.85%;17.72%;23.36%;17.95%;24.4%;25.25%;25.09%;22.14%;19.59%;27.07%;25.61%;27.42%;22.2%;11.83%;14.49%
3302-11085-TECNOLOGIA EN ELECTRONICA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;19.67%;19.02%;13.23%;11.87%;11.73%;9.24%;11.67%;14.75%;12.9%;25.82%;30.41%;32.53%;38.33%;29.19%;18.37%;14%;22.39%;26.25%;27.75%;21.3%;22.59%;18.13%;24.83%;19.45%;17.25%;20.75%;19.1%;14.19%;20.91%;22.68%;21.65%;22.47%;18.73%;22.75%;20.34%;20.63%;14.34%;8.94%;6.9%
3302-15600-TECNOLOGIA EN GESTION ADMINISTRATIVA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;20%;32.53%;16.33%;28.48%;24.84%;32.14%;33.89%;32.85%;36.65%;33.07%;27.05%;20.42%;25.77%;25.09%;20.87%;14.04%;16.55%;11.25%;18.72%;14.32%;15.03%;13.27%;15.29%;12.5%;13.75%;13.75%;15.85%;15.36%;16.24%;15.87%;15.04%;15.77%;13.94%;7.12%;11.18%
3302-17719-TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;100%;75%;30.77%;43.48%;33.8%;31.52%;26.19%;32.41%;35.47%;32.39%;38.07%;25.21%;20.73%;15%;25%;19.05%;8.33%;11.11%;37.5%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
3302-17720-TECNOLOGIA EN INFORMATICA MUSICAL;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;25.81%;25%;33.33%;22.31%;32.14%;42.86%;53.38%;54.31%;36.73%;23.15%;16.22%;24.46%;26.76%;23.72%;21.3%;27.68%;17.32%;21.47%;24.29%;22.74%;21.64%;21.6%;18.58%;21.73%;18.24%;17.39%;24.19%;22.3%;27.96%;25.17%;20.69%;25.57%;10.76%;16.48%
3302-52129-INGENIERIA ELECTRÓNICA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;9.09%;26.67%;25%;25%;7.14%;9.09%;25.81%;19.48%;12.22%;16.67%;8.4%;5.93%;11.33%;5.48%;10.75%;12.82%;10.14%;12.61%;12.77%;13.6%;17.05%;11.92%;16.18%;9.62%;11.82%;14.57%;16.06%;5.43%;2.87%
3302-52130-INGENIERIA ELECTROMECÁNICA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;19.05%;19.23%;27.78%;9.52%;17.72%;14%;17.59%;21.71%;16.06%;12.56%;7.92%;7.29%;7.1%;8.47%;6.33%;8.27%;13.99%;11.37%;12.59%;12.8%;11.14%;12.81%;6.44%;10.59%;11.54%;15.45%;10.24%;6.19%;4.42%
3302-52131-INGENIERIA DE PRODUCCI¿N;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;23.08%;27.27%;17.5%;23.75%;10.09%;13.29%;11.93%;14.71%;12.89%;11.65%;9.74%;9.9%;5.82%;4.29%;5.66%;3.61%;4.46%;4.93%;6.74%;10.35%;6.98%;6.02%;5.66%;6.75%;7.69%;5.71%;7.26%;2.33%;2.64%
3302-52204-INGENIERIA FINANCIERA Y DE NEGOCIOS;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;25%;22.73%;21.31%;9.38%;11.24%;18.87%;23.03%;14.1%;5.8%;3.19%;2.17%;3.02%;3.05%;3.7%;2.3%;2.72%;3.71%;6.72%;8.93%;10.39%;6.91%;6.57%;7.95%;6.22%;9.17%;5.84%;3.27%;3.44%
3302-52205-INGENIERIA DE SISTEMAS;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;17.5%;23.4%;24.69%;12.12%;11.72%;18.24%;21.81%;19.83%;11.23%;9.09%;2.88%;6.69%;4.92%;7.14%;10.6%;14.63%;9.74%;15.57%;10.18%;11.57%;8.2%;5.51%;5.93%;7.33%;7.86%;7.17%;5.78%;4.89%
3302-52272-INGENIERIA EN DISEÑO INDUSTRIAL;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;31.25%;36.84%;21.43%;4.88%;10.2%;12.12%;8.25%;5.43%;11.41%;11.04%;4.22%;9.88%;12.7%;8.85%;6.12%;12.56%;6.92%;3.54%;11.39%;6.25%;17.39%;20%;22.22%;50%;0%;0%;0%;0%
3302-52299-INGENIERÍA DE TELECOMUNICACIONES;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;14.29%;20.9%;20%;16.79%;12.58%;20.62%;24.88%;27.78%;13.43%;7.46%;7.3%;11.66%;4.67%;9.2%;11.28%;16.83%;11.64%;11.08%;14.76%;10.49%;13.5%;10.14%;12.61%;10.84%;12.46%;9%;4.01%;3.9%
3302-53340-INGENIERÍA BIOMÉDICA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;34.21%;25.24%;17.59%;24.11%;16.16%;19.01%;15.53%;17.29%;15.72%;17.35%;14.38%;13.14%;13.72%;11.67%;10.36%;12.98%;14.49%;12.6%;11.95%;11.13%;12.27%;11.53%;9.52%;10.54%;4.64%;5.93%
3302-53799-TECNOLOGIA EN CONSTRUCCION DE ACABADOS ARQUITECTONICOS;TASA DE DESERCIÓN;0%;0%;16.67%;15%;17.24%;15.31%;16.18%;19.41%;11.18%;15.38%;18.47%;18.99%;22.37%;25%;21.28%;11.84%;18.28%;33.33%;39.78%;98.04%;66.67%;33.33%;40%;64.71%;60%;45.45%;62.5%;100%;25%;25%;45.45%;47.06%;5%;12.5%;21.3%;17.01%;12.54%;16.85%;18.01%;17.22%;16.62%;17.55%;22.06%;14.69%;18.75%;17.8%;9.87%;19.25%
3302-53800-TECNOLOGIA EN CALIDAD;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;24.32%;22.06%;15.17%;12.87%;13.95%;10.26%;10.21%;11.31%;10.88%;10.64%;12.41%;17.16%;27.67%;97.73%;30%;55.56%;27.27%;38.46%;22.22%;46.15%;28.57%;80%;50%;75%;30%;53.85%;14.29%;27.78%;29.85%;15.38%;15.36%;18.62%;18.32%;19.54%;19.43%;19.23%;24.07%;24.75%;19.96%;22.66%;6.9%;7.95%
3302-53801-TECNOLOGIA EN SISTEMAS DE INFORMACION;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;22.88%;27.91%;12.28%;15.02%;11.44%;13.44%;12.32%;13.1%;18.76%;16.67%;24.73%;21.89%;35.69%;95.74%;60%;47.06%;40%;17.39%;43.42%;29.82%;47.31%;61.67%;55.88%;42.42%;26.47%;46%;20.48%;19.39%;16.3%;22.04%;16.09%;20.84%;21.7%;22.1%;20.04%;18.54%;20.97%;17.91%;19.29%;15.44%;7.23%;12.19%
3302-53802-TECNOLOGIA EN PRODUCCIÓN;TASA DE DESERCIÓN;0%;0%;0%;20.59%;30.77%;21.3%;20.42%;18.24%;14.29%;14.79%;22.97%;14.52%;11.56%;10.93%;11.51%;11.76%;12.7%;16.3%;27.44%;97.78%;44.44%;38.89%;41.46%;48.39%;34.38%;29.17%;45.83%;53.85%;25%;25%;15%;36.36%;24.32%;18.18%;21.2%;17.56%;15.82%;13.63%;17.96%;18.06%;16.3%;17.29%;18.06%;17.33%;13.83%;11.79%;5.1%;4.45%
3302-53803-TECNOLOGIA EN ANALISIS DE COSTOS Y PRESUPUESTOS;TASA DE DESERCIÓN;0%;0%;10.83%;15.55%;16.25%;13.08%;15.47%;12.83%;13.74%;15.68%;14.39%;12.86%;14.57%;8.61%;7.05%;15.5%;16.9%;17.61%;28.3%;98.4%;54.17%;42.31%;41.86%;33.33%;41.51%;40.54%;45.95%;54.84%;37.5%;62.5%;30.43%;51.43%;18.84%;14.1%;16.84%;20.74%;17.43%;16.36%;16.29%;16.54%;16.18%;17.83%;21.43%;17.68%;19.53%;17.78%;7.97%;12.28%
3302-53806-TECNOLOGÍA EN DISEÑO INDUSTRIAL;TASA DE DESERCIÓN;0%;0%;30.56%;15.25%;12.37%;16.67%;16.13%;17.45%;21.52%;17.94%;18.4%;18.03%;10.28%;15.11%;18.72%;17.67%;26.32%;31.49%;34.98%;96.79%;47.83%;35.29%;45.45%;41.03%;46.67%;39.39%;41.94%;60%;23.08%;53.33%;34.78%;26.92%;22%;22.41%;17.82%;15.96%;13.7%;13.64%;17.15%;19.43%;19.43%;15.47%;20.99%;20.45%;22.48%;22.5%;14.63%;16.51%
3302-55072-ADMINISTRACI¿N TECN¿LOGICA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;33.49%;29.62%;16.4%;20.57%;15.79%;17.09%;13.7%;11.06%;11.25%;10.14%;10.69%;11.46%;11.4%;11.53%;9.48%;9.79%;9.7%;12.24%;10.87%;9.87%;4.32%;5.52%
3302-55105-FÍSICA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;45.45%;38.46%;14.29%;8%;38.1%;17.24%;8.33%;18.18%;22.22%;14.29%;8.33%;8.33%;0%;0%;9.09%;0%;0%;0%;0%;0%;25%;0%
3302-90355-ARTES VISUALES;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;20.83%;23.42%;22.58%;18.75%;11.57%;13.11%;18.18%;14.29%;13.7%;9.47%;12.04%;9.94%;10.42%;13.81%;13.26%;11.73%;15.2%;10.97%;11.46%;6.77%;8.51%
3302-90442-INGENIERÍA MECATRÓNICA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;18.29%;21.24%;20.72%;16.94%;19.68%;19.79%;15.83%;18.26%;15.44%;14.05%;17.15%;15.3%;15.5%;15.48%;14.54%;14.8%;13.95%;15.14%;14.67%;8.41%;10.56%
3302-103928-INGENIERÍA EN DISEÑO INDUSTRIAL;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;100%;10.87%;12.74%;17.67%;17.89%;16.63%;11.87%;14.09%;9.45%;12.12%;11.78%;6.19%;9.1%
3302-104332-QUÍMICA INDUSTRIAL;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;16%;15.71%;17.48%;20.65%;12.78%;15.25%;11.11%;14.77%;10.23%;7.56%;9.49%
3302-104682-ARTES DE LA GRABACION Y PRODUCCION MUSICAL;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;17.81%;16.67%;17.05%;14.12%;8.29%;8.33%;16.04%;10.87%;7.62%;6.36%
3302-105852-CONTADURÍA PÚBLICA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;16.89%;15.93%;15.59%;14.78%;15.04%;13.28%;5.43%;6.46%
3302-106188-INGENIERÍA DE LA CALIDAD;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;10.17%;22.35%;11.46%;24.79%;19.76%;12.41%;11.36%
3302-106314-CINE;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;20.83%;11.49%;13.7%;11.54%;11.79%;4.85%;8.63%
3302-106810-TECNOLOGIA EN SISTEMAS ELECTROMECANICOS;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;37.39%;35.85%;34.87%;23.26%;22.4%
3302-107004-TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;39.64%;23.12%;17.31%;19.93%;21.36%
3302-107381-TECNOLOGÍA EN GESTIÓN DE REDES DE  TELECOMUNICACIONES;TASA DE DESERCIÓN;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;35.92%;37.7%;22.36%;31.04%
